number,name,year,platform,score,votes
1,"<span class=""title""> 1. <a href=""https://club.steam250.com/app/620"">Portal 2</a></span>","<span class=""date"" title=""18 Apr 2011""><a href=""/2011""> Apr 2011 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
2,"<span class=""title""> 2. <a href=""https://club.steam250.com/app/413150"">Stardew Valley</a></span>","<span class=""date"" title=""26 Feb 2016""><a href=""/2016""> Feb 2016 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
3,"<span class=""title""> 3. <a href=""https://club.steam250.com/app/105600"">Terraria</a></span>","<span class=""date"" title=""16 May 2011""><a href=""/2011""> May 2011 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
4,"<span class=""title""> 4. <a href=""https://club.steam250.com/app/1118200"">People Playground</a></span>","<span class=""date"" title=""23 Jul 2019""><a href=""/2019""> Jul 2019 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span></span>",,
5,"<span class=""title""> 5. <a href=""https://club.steam250.com/app/550"">Left 4 Dead 2</a></span>","<span class=""date"" title=""16 Nov 2009""><a href=""/2009""> Nov 2009 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
6,"<span class=""title""> 6. <a href=""https://club.steam250.com/app/1794680"">Vampire Survivors</a></span>","<span class=""date"" title=""20 Oct 2022""><a href=""/2022""> Oct 2022 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
7,"<span class=""title""> 7. <a href=""https://club.steam250.com/app/1145360"">Hades</a></span>","<span class=""date"" title=""17 Sep 2020""><a href=""/2020""> Sep 2020 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
8,"<span class=""title""> 8. <a href=""https://club.steam250.com/app/227300"">Euro Truck Simulator 2</a></span>","<span class=""date"" title=""18 Oct 2012""><a href=""/2012""> Oct 2012 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
9,"<span class=""title""> 9. <a href=""https://club.steam250.com/app/400"">Portal</a></span>","<span class=""date"" title=""10 Oct 2007""><a href=""/2007""> Oct 2007 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
10,"<span class=""title""> 10. <a href=""https://club.steam250.com/app/1966720"">Lethal Company</a></span>","<span class=""date"" title=""23 Oct 2023""><a href=""/2023""> Oct 2023 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span></span>",,
11,"<span class=""title""> 11. <a href=""https://club.steam250.com/app/4000"">Garry's Mod</a></span>","<span class=""date"" title=""29 Nov 2006""><a href=""/2006""> Nov 2006 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a></span>",,
